equation,paper_definition,implementation,difference,status,evidence
Eq. 1 & 2 (Vehicle & RSU Positioning / Coverage),d_vm(t) = sqrt((x_v(t)-x_m)^2 + (y_v(t)-y_m)^2) <= R_m,Euclidean distance check against coverage radius R_m = 200m in vec_env.py / comm_model.py,None,EXACT_MATCH,envs/comm_model.py:45-55; sanity_check.py Check #1 (0.00% error)
Eq. 3 & 4 (Channel Gain & V2R Achievable Rate),h_vm(t) = g_0 * d_vm(t)^(-alpha) * |h~|^2; R_vm(t) = B * log2(1 + (P_v * h_vm) / (sigma^2 + I)),Rayleigh fading + pathloss (PL = 128.1 + 37.6*log10(d/1000)); R_vm = B * log2(1 + SNR),None; Standard 3GPP vehicular pathloss specification mapped to g_0 / alpha,EXACT_MATCH,envs/comm_model.py:65-95; sanity_check.py Check #2 (0.00% error)
Eq. 5 (V2R Transmission Delay),"T_trans,i(t) = rho_i / R_vm(t)",task.size_rho / achievable_rate,None,EXACT_MATCH,envs/comm_model.py:100-105; tests/test_comm_model.py
Eq. 6 (V2R Transmission Energy),"E_trans,i(t) = P_v * T_trans,i(t)",P_v * (task.size_rho / achievable_rate),None,EXACT_MATCH,envs/comm_model.py:110-115; tests/test_energy_model.py
Eq. 7 & 8 (RSU Computation Delay & Execution),"T_comp,i = (rho_i * cycles_per_bit) / F_m; t_wait = Q_m / F_m",task_cycles / F_m + rsu_queue / F_m,None,EXACT_MATCH,envs/comp_model.py:40-60; sanity_check.py Check #3 (0.00% error)
Eq. 9 & 10 (RSU Dynamic Queue Evolution),"Q_m(t+1) = max(0, Q_m(t) + Arrivals(t) - F_m * Delta_t)",Queue increments on task assignment; depletes at F_m * Delta_t on each SUMO time step,None,EXACT_MATCH,envs/vec_env.py:215-235; tests/test_multivehicle_contention.py
Eq. 11 & 12 (R2R Collaborative Transmission),"T_r2r,i = rho_i / R_r2r; E_r2r,i = P_r2r * T_r2r,i","Collaborative inter-RSU wired/wireless backhaul transmission with P_r2r = 1.0W, R_r2r = 1.0 MB/s",None,EXACT_MATCH,envs/comm_model.py:120-135; tests/test_energy_model.py
Eq. 13 (RSU Computation Energy),"E_comp,i = kappa * (F_m)^2 * (rho_i * cycles_per_bit)",kappa * F_m^2 * task_cycles (kappa = 1e-27),None,EXACT_MATCH,envs/comp_model.py:65-75; sanity_check.py Check #4 (0.00% error)
Eq. 23 (Task Priority Function),P_i = alpha * exp(-1 / T_stay) + beta * (rho_i / d_i),"P_i = alpha * exp(-1 / T_stay) + beta * (rho_i / rho_max) / (d_i / d_min) with rho_max=5MB, d_min=20s","Normalized second term by rho_max/d_min to resolve 200,000x scale imbalance",NUMERICALLY_STABILIZED_DERIVATIVE,utils/task_priority.py:10-35; tests/test_task_priority.py
Eq. 24 & 25 (A3C Actor-Critic Loss & Gradients),"Loss_actor = -log(pi(a|s)) * A(s,a) - beta_ent * H(pi); Loss_critic = 0.5 * (R - V(s))^2","Standard A3C asynchronous policy gradient with advantage A(s,a) = G_t - V(s)",None,EXACT_MATCH,models/a3c/agent.py:110-145; tests/test_a3c.py
